,total_scores,occurences
0,0.7077080011367798,35513
1,0.057943712919950485,35513
2,0.02872399613261223,35513
3,0.02323503978550434,35513
4,0.012611025013029575,35513
5,0.008561879396438599,34836
6,0.008043485693633556,34122
7,0.007782661356031895,33346
8,0.009358813054859638,32485
9,0.006372327450662851,31865
10,0.005862281192094088,31114
11,0.006860743276774883,30300
12,0.006121054757386446,29264
13,0.006579337175935507,28196
14,0.006778659764677286,27123
15,0.00717206159606576,26171
16,0.006965152453631163,25188
17,0.008817181922495365,24215
18,0.00848818477243185,23128
19,0.009856395423412323,22130
20,0.011002996936440468,21011
21,0.010626734234392643,20008
22,0.011774535290896893,18996
23,0.011240269057452679,17911
24,0.012937732972204685,16761
25,0.011993663385510445,15667
26,0.014280140399932861,14497
27,0.01619667373597622,13231
28,0.017767535522580147,11880
29,0.015465797856450081,10609
30,0.014751426875591278,9293
31,0.01905561238527298,8024
32,0.015313970856368542,6797
33,0.016009505838155746,5564
34,0.014521852135658264,4495
35,0.01749551109969616,3477
36,0.012103396467864513,2543
37,0.01365705393254757,1811
38,0.013355934992432594,1203
39,0.00879859458655119,787
40,0.004795363638550043,482
41,0.0004890038399025798,279
42,0.0020230368245393038,138
43,0.00039908182225190103,64
44,8.767947292653844e-07,28
45,5.428722360534266e-08,11
46,1.0226112491518169e-11,6
47,0.0,2
48,0.0,2
49,0.0,2
50,0.0,2
51,0.0,2
52,0.0,2
53,0.0,2
54,0.0,2
55,0.0,2
56,0.0,2
57,0.0,1
58,0.0,1
59,0.0,0
60,0.0,0
