Wall time,Step,Value
1747815483.257814,1,4.274199962615967
1747816712.2321093,2000,2.22760009765625
1747818479.0941114,4000,1.3177000284194946
1747820244.7248452,6000,1.100600004196167
1747822017.169385,8000,0.9958999752998352
1747823790.138528,10000,0.9294999837875366
1747825566.4557312,12000,0.8798999786376953
1747827336.8591585,14000,0.8406999707221985
1747829107.287735,16000,0.8057000041007996
1747830878.9911945,18000,0.7738999724388123
1747832652.4463093,20000,0.7451000213623047
1747834421.583955,22000,0.7192000150680542
1747836187.1333954,24000,0.695900022983551
1747837956.657084,26000,0.6751999855041504
1747839725.4909015,28000,0.6581000089645386
1747841493.2785347,30000,0.6456000208854675
1747843261.8273027,32000,0.6363000273704529
