Wall time,Step,Value
1747756880.3005424,1,0.0
1747757443.3755398,2000,0.0005965799209661782
1747758480.9150724,4000,0.0005835843621753156
1747759515.788315,6000,0.0005613500834442675
1747760544.5284345,8000,0.0005306871025823057
1747761579.3683178,10000,0.0004927125410176814
1747762611.064528,12000,0.0004488099948503077
1747763644.8830101,14000,0.0004005788650829345
1747764672.5991652,16000,0.0003497763827908784
1747765707.2204108,18000,0.000298253376968205
1747766736.7792053,20000,0.0002478869864717126
1747767773.0905614,22000,0.00020051217870786786
1747768811.3512638,24000,0.00015785495634190738
1747769844.171644,26000,0.00012146943481639028
1747770876.888067,28000,9.268121357308701e-05
1747771910.9841912,30000,7.253914372995496e-05
1747772940.1657465,32000,6.177703471621498e-05
