,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,5,8,3.697824164927699e-12,C,5.313127981704886e-16,6,1.0634551017574267e-08,=,1.0634551017574267e-08,0
1,10,12,0.07489050924777985,C,0.03994106501340866,3,0.35014885663986206,O,0.0,0
2,13,15,0.1100197285413742,),0.04067353904247284,11,0.5040051937103271,C,0.0,0
3,24,27,4.226680630381452e-06,C,8.4022269675188e-07,24,4.226680630381452e-06,(,3.7559902921202593e-06,0
4,34,36,0.007674339693039656,c,0.004585031885653734,34,0.007674339693039656,(,0.0,0
5,21,40,1.9575506939872866e-06,c,7.249855116242543e-07,38,0.03091801516711712,2,0.053468164056539536,0
6,8,19,0.0,c,0.0,17,1.0,[nH],1.0,1
7,21,24,0.004537385422736406,c,0.002131425542756915,22,0.499385267496109,O,0.499385267496109,1
8,6,8,0.055527105927467346,c,0.04446058347821236,1,0.2127363085746765,C,0.0,2
9,26,29,2.6714841450115046e-10,C,1.0729694910338594e-09,27,5.746473874523872e-08,=,5.746473874523872e-08,2
10,34,36,0.5135191679000854,c,0.03604445978999138,34,0.5135191679000854,(,0.0,2
11,24,43,1.0541029951127712e-06,c,1.055150960382889e-06,34,0.00936444103717804,(,0.018724162131547928,2
12,17,46,5.404514880069655e-08,c,2.6164748589962983e-08,44,0.35090649127960205,s,0.3724428415298462,2
13,10,56,4.501944417256709e-08,n,3.441235918444363e-08,54,0.5491625666618347,2,0.5494315028190613,2
14,6,9,1.4868804155187953e-20,c,1.230720704679281e-22,7,1.3559872669155482e-10,=,1.3559872669155482e-10,3
15,14,16,0.0030251643620431423,c,1.77727997652255e-05,10,0.8762123584747314,o,0.0,3
16,22,25,3.012593114407107e-17,C,2.4017559248801276e-18,22,3.012593114407107e-17,(,2.2643372368973057e-18,3
17,27,29,0.009572703391313553,N,0.0029658330604434013,12,0.737413763999939,2,0.0,3
18,18,39,0.00016891259292606264,c,1.684573908278253e-05,30,0.6485077738761902,C,0.7018662095069885,3
19,14,17,5.576326726763892e-12,C,2.8342844733784e-16,14,5.576326726763892e-12,(,5.336673485935306e-15,4
20,8,28,1.5884195292414915e-08,c,2.0635656738932084e-08,24,0.8355264067649841,O,0.8369114995002747,4
21,7,9,0.002605947433039546,C,0.0003596991300582886,5,0.018522702157497406,C,0.0,5
22,12,15,1.3995975489677903e-09,C,3.808874229742094e-15,13,1.909960412049827e-09,=,1.909960412049827e-09,5
