,total_scores,occurences
0,0.749313473701477,36118
1,0.013659201562404633,36118
2,0.008716626092791557,36118
3,0.019193341955542564,36118
4,0.013940745033323765,35841
5,0.012787527404725552,35249
6,0.01297749299556017,34551
7,0.014527046121656895,33802
8,0.014235874637961388,32645
9,0.016340237110853195,32095
10,0.015784775838255882,31480
11,0.018396155908703804,30970
12,0.015234183520078659,30355
13,0.01254555769264698,29710
14,0.011116010136902332,28997
15,0.010836904868483543,28036
16,0.00948074646294117,27139
17,0.010989046655595303,26247
18,0.0070479558780789375,25321
19,0.007141373120248318,24079
20,0.007682274095714092,22875
21,0.006706749554723501,21671
22,0.005372939165681601,20394
23,0.006173368077725172,19246
24,0.005560352001339197,18153
25,0.00420141639187932,16996
26,0.0040966360829770565,15845
27,0.004524415358901024,14769
28,0.0034365400206297636,13652
29,0.003424113616347313,12548
30,0.0041344054043293,11554
31,0.003945712931454182,10522
32,0.003783310065045953,9502
33,0.002891034819185734,8556
34,0.004153046291321516,7607
35,0.0032715224660933018,6664
36,0.004059596452862024,5815
37,0.0036695818416774273,5047
38,0.0037503771018236876,4324
39,0.0032397753093391657,3658
40,0.0032970565371215343,3001
41,0.0032206287141889334,2432
42,0.00378823047503829,1866
43,0.0015405212761834264,1394
44,0.0009925065096467733,1038
45,0.005597144830971956,693
46,0.002310963813215494,435
47,0.0010349927470088005,283
48,7.621957820447278e-08,162
49,3.079703105868248e-07,91
50,1.4710280993313063e-07,47
51,8.508337856483195e-08,21
52,6.547038822191098e-08,10
53,7.305126026314156e-20,4
54,0.0,2
55,0.0,1
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,0
60,0.0,0
