,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
0,7,9,0.007403725292533636,N,0.0020007069688290358,1,0.012299919500946999,N,0.0,0
1,15,18,1.2484098691824673e-22,S,8.089500481607265e-18,16,6.431436465207177e-16,=,6.431436465207177e-16,0
2,19,22,6.440831895604404e-11,),5.090748378400178e-10,14,5.361172616957788e-10,S,1.4635558390208026e-11,0
3,28,30,0.17042216658592224,C,0.00025565846590325236,28,0.17042216658592224,(,0.0,0
4,10,12,0.04389585554599762,C,0.04874705895781517,8,0.21251168847084045,1,0.0,1
5,15,18,5.0454367794827704e-08,C,5.231223454416067e-09,16,0.0008681577746756375,=,0.0008681577746756375,1
6,27,31,2.186106030421797e-06,C,3.940635451726848e-06,8,1.5114213965716772e-05,1,1.1888069417764768e-09,1
7,9,12,1.493784162970255e-42,C,0.0,10,0.9999998807907104,O,0.9999998807907104,2
8,21,26,1.2757712941624533e-10,C,2.7425124345982488e-14,14,6.761273834854364e-05,C,2.9789170262473075e-13,2
9,28,31,1.9612812667405182e-25,S,3.660925615279533e-19,27,3.660925615279533e-19,S,1.9122349246421465e-24,2
10,32,35,6.136343603385663e-13,),3.9281062126986233e-13,26,4.042932655323739e-12,),1.0916580139852528e-12,2
11,37,39,0.0029696361161768436,N,0.03847634047269821,27,0.37091347575187683,S,0.0,2
12,6,8,0.021418185904622078,N,0.004568739794194698,6,0.021418185904622078,(,0.0,3
13,12,18,3.3571805698498188e-15,C,1.1235750432007425e-16,9,9.869850492449928e-10,N,2.443863525176254e-13,3
14,26,29,0.0012033837847411633,C,1.0725206313344504e-11,26,0.0012033837847411633,(,2.153970690699225e-08,3
15,31,35,0.0017821651417762041,C,6.251174022864348e-10,27,0.6068750619888306,O,2.5464039765665802e-09,3
16,37,39,1.252722703348752e-09,C,6.023648864014947e-16,26,0.9970644116401672,(,0.0,3
17,4,6,0.002789510181173682,C,0.0011997041292488575,2,0.004260948859155178,=,0.0,4
18,20,24,1.547293686599005e-05,C,0.23137250542640686,12,0.7444490194320679,2,2.997142811711484e-10,4
19,27,30,2.732431856677525e-20,C,5.272681603903015e-23,20,0.9999951124191284,(,5.340767880661343e-20,4
20,38,41,0.0,C,0.0,39,5.461766040858155e-24,O,5.461766040858155e-24,4
21,8,10,1.1210869831798565e-17,C,9.830130854338313e-18,6,1.6257389653787958e-14,O,0.0,5
22,16,19,8.567392830853446e-17,C,8.225653841333232e-15,6,8.833865849109182e-15,O,1.9338097028527638e-16,5
23,28,30,0.002448811661452055,C,0.0009372119675390422,22,0.08010197430849075,1,0.0,5
24,10,17,4.266712949174689e-06,C,8.972570526566415e-07,15,0.011277483776211739,O,0.011329799890518188,6
25,19,22,7.591972717503647e-16,S,1.9534659229569675e-15,18,1.9534659229569675e-15,S,5.680829120011041e-18,6
26,23,26,2.7016073501028547e-15,),1.0961677834148923e-14,22,1.0961677834148923e-14,),5.9147098390862035e-16,6
27,8,10,0.00013573946489486843,C,6.814719654357759e-06,1,0.5902349948883057,F,0.0,7
28,17,20,1.1128173277239189e-16,C,2.3691907810596824e-12,13,2.6509966097321147e-11,1,3.730376721904722e-15,7
29,30,34,0.017087027430534363,C,0.00017016060883179307,1,0.9469537734985352,F,0.00016210328612942249,7
30,41,43,0.00047831988194957376,C,1.1160738538863388e-13,37,0.9983481168746948,1,0.0,7
31,4,6,1.0714789515711698e-12,1,6.770727688328504e-16,4,1.0714789515711698e-12,(,0.0,8
32,8,11,4.587937880479761e-21,C,2.3508166993834693e-23,9,6.716237148932961e-18,=,6.716237148932961e-18,8
33,20,27,3.2237537959461737e-17,C,1.5183892760145887e-19,24,1.1570142621764035e-09,=,1.1570250313397423e-09,8
34,29,32,1.496030035963436e-11,S,4.015313592731218e-08,28,4.015313592731218e-08,S,1.927068097110074e-12,8
35,33,36,1.0086668306152902e-10,),8.952375299409177e-12,33,1.0086668306152902e-10,(,3.38247277409387e-11,8
36,15,18,9.328196417870217e-19,C,2.4645490921848003e-21,13,2.2526907006437114e-09,O,4.2459584506485836e-17,9
37,31,34,2.7511914621469735e-11,S,6.182443446078878e-10,26,1.4068775726627791e-06,N,1.3670486964656448e-09,9
38,35,38,2.561671794826248e-12,),4.990525137235635e-13,26,6.630801463458624e-11,N,1.9310317234122465e-11,9
39,40,42,2.439553004052186e-10,C,6.89031405716467e-13,26,0.9983009696006775,N,0.0,9
40,11,14,4.7516041123442376e-14,C,1.1575471524349483e-16,1,5.1218989938206505e-06,S,4.289744254259986e-11,10
41,18,21,1.3090788734287111e-18,C,6.110387829742225e-22,19,8.86638174988838e-14,=,8.86638174988838e-14,10
42,15,19,4.8291962428947954e-08,C,2.2629670581864048e-08,16,0.0001372449187329039,N,0.00014094461221247911,11
43,21,24,1.0423714165040329e-13,C,7.500181031794284e-13,19,4.678083769249497e-06,),3.834072545127326e-13,11
44,28,30,0.06429120898246765,C,0.008061632513999939,28,0.06429120898246765,(,0.0,11
45,31,33,0.0010962513042613864,),0.000865832669660449,31,0.0010962513042613864,(,0.0,11
46,37,40,8.44905901939957e-17,C,1.0964122889049762e-18,38,9.318745861769395e-13,=,9.318745861769395e-13,11
47,43,45,1.851400610099862e-18,C,4.589112735443528e-20,43,1.851400610099862e-18,(,0.0,11
48,46,48,0.00028365475009195507,),1.7725893641795665e-08,46,0.00028365475009195507,(,0.0,11
49,15,18,5.404572584666312e-05,C,1.6614036212558858e-05,10,0.0259430892765522,2,2.979628879984375e-05,12
50,20,30,8.915864100345061e-07,C,7.959391723488807e-07,28,0.6856670379638672,O,0.6858140230178833,12
51,32,35,1.9672402231663e-06,C,5.157035616321082e-07,33,1.1030015230062418e-05,=,1.1030015230062418e-05,12
52,38,40,2.005346111388917e-08,C,1.3127821312658439e-12,24,0.6802771687507629,2,0.0,12
53,41,43,1.01795003361934e-13,),2.957480587468739e-14,29,2.997146419936314e-10,C,0.0,12
54,16,18,0.00019516475731506944,C,4.644454747904092e-05,2,0.005088526755571365,O,0.0,13
55,20,23,3.219122559662557e-13,C,1.5447757276913082e-13,21,1.67579000844853e-05,=,1.67579000844853e-05,13
56,28,30,5.738991859516318e-08,C,1.5274334019821367e-09,28,5.738991859516318e-08,(,0.0,13
57,32,34,8.141944328013168e-16,N,2.785073838218466e-10,30,1.0142682640434941e-06,),0.0,13
58,36,39,1.4110459289895516e-07,C,2.781556318609546e-09,37,7.061860287649324e-07,=,7.061860287649324e-07,13
59,41,43,2.54959553469547e-10,N,2.8402349916412106e-10,39,5.3247049436322413e-08,),0.0,13
60,2,4,4.042348747401725e-11,C,0.0,2,4.042348747401725e-11,(,0.0,14
61,5,7,4.214311538630611e-11,),8.646950711010959e-09,4,8.646950711010959e-09,),0.0,14
62,12,15,2.1092540013851677e-14,C,1.5277170939973286e-15,10,2.180654234962276e-07,1,3.6507116638528556e-14,14
63,19,22,2.7382412781662424e-07,2,0.055153582245111465,18,0.055153582245111465,2,5.775644199013108e-11,14
64,26,30,3.562811937835031e-12,N,1.5624784737156006e-06,18,0.9655565023422241,2,2.265309149301637e-14,14
