Wall time,Step,Value
1747734216.254477,1,3.927500009536743
1747734947.815094,2000,2.188499927520752
1747736041.0363085,4000,1.704200029373169
1747737143.150778,6000,1.614799976348877
1747738238.468497,8000,1.5746999979019165
1747739331.93636,10000,1.5506999492645264
1747740425.5889957,12000,1.533400058746338
1747741517.9377854,14000,1.5189000368118286
1747742611.8888888,16000,1.5063999891281128
1747743706.8006997,18000,1.4943000078201294
1747744800.7859113,20000,1.483199954032898
1747745898.1642601,22000,1.4726999998092651
1747746996.6709886,24000,1.4622999429702759
1747748096.7852314,26000,1.4509999752044678
1747749190.1094928,28000,1.440600037574768
1747750289.7252765,30000,1.431399941444397
1747751385.299702,32000,1.4221999645233154
1747752480.8693845,34000,1.4149999618530273
1747753586.323763,36000,1.4078999757766724
1747754681.033777,38000,1.403499960899353
1747755777.8444817,40000,1.3986999988555908
