,total_scores,occurences
0,0.4373232424259186,39185
1,0.058154407888650894,39185
2,0.029693428426980972,39185
3,0.034432973712682724,39185
4,0.026277340948581696,38849
5,0.036868564784526825,38429
6,0.029164601117372513,37696
7,0.03366140276193619,36946
8,0.02860032208263874,35897
9,0.03079579398036003,35379
10,0.028183000162243843,34790
11,0.033185333013534546,34335
12,0.03388486057519913,33748
13,0.03372601419687271,33126
14,0.026981383562088013,32495
15,0.02076154202222824,31587
16,0.01788577064871788,30617
17,0.018373234197497368,29691
18,0.01728134974837303,28752
19,0.014844603836536407,27522
20,0.013867965899407864,26281
21,0.01232867781072855,25006
22,0.00988322589546442,23647
23,0.0106094591319561,22452
24,0.008083822205662727,21329
25,0.008175625465810299,20165
26,0.007810044102370739,18976
27,0.006803917232900858,17819
28,0.0056275250390172005,16604
29,0.005456952378153801,15494
30,0.0046251812018454075,14417
31,0.00433432636782527,13291
32,0.005295327864587307,12182
33,0.003948279190808535,11037
34,0.003041504416614771,9899
35,0.004607897251844406,8825
36,0.003840271383523941,7783
37,0.0045815096236765385,6774
38,0.003600147319957614,5829
39,0.002506971824914217,4985
40,0.005171290598809719,4213
41,0.005446162540465593,3448
42,0.007054610177874565,2749
43,0.010060124099254608,2153
44,0.008984433487057686,1655
45,0.008210919797420502,1203
46,0.006752033717930317,847
47,0.008615696802735329,552
48,0.0031640336383134127,358
49,0.009377507492899895,221
50,0.007520997431129217,133
51,1.6113790479721501e-07,69
52,2.8122899564664294e-09,39
53,1.584819311916709e-14,23
54,4.48150203436555e-16,15
55,8.249646625546614e-12,8
56,1.6603659094317769e-13,5
57,2.4044380166573002e-17,4
58,0.0,2
59,0.0,0
60,0.0,0
