,total_scores,occurences
0,0.8777515292167664,35385
1,0.03187184035778046,35385
2,0.012835280038416386,35384
3,0.013717095367610455,35384
4,0.0067502353340387344,35384
5,0.0044396743178367615,34699
6,0.00447268970310688,34016
7,0.0048837810754776,33238
8,0.005536693148314953,32333
9,0.0032562105916440487,31710
10,0.004332087468355894,30947
11,0.0038454653695225716,30199
12,0.003653117222711444,29221
13,0.003816355252638459,28156
14,0.0039573246613144875,27035
15,0.0031499513424932957,25993
16,0.0041139982640743256,24953
17,0.0027647025417536497,23967
18,0.002461562864482403,22939
19,0.00306586897931993,21854
20,0.002343605039641261,20774
21,0.001806779531762004,19781
22,0.0018736455822363496,18726
23,0.0012427766341716051,17676
24,0.0019176305504515767,16572
25,0.001489427057094872,15404
26,0.0015949325170367956,14236
27,0.0018401925917714834,12994
28,0.0014213472604751587,11701
29,0.0015110309468582273,10382
30,0.0014112715143710375,9078
31,0.0007835996220819652,7827
32,0.001931681064888835,6561
33,0.000987223582342267,5442
34,0.0009094814886339009,4394
35,3.831136564258486e-05,3315
36,0.0014051035977900028,2451
37,0.001494022668339312,1740
38,0.0007433351711370051,1142
39,7.297356319213577e-08,711
40,2.0215946960888687e-07,420
41,7.00064317626925e-09,238
42,6.322078971443545e-10,117
43,5.804992042612866e-10,63
44,1.3824443811927267e-09,26
45,7.107160048197905e-14,11
46,3.862824315799945e-25,3
47,0.0,0
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,0.0,0
60,0.0,0
