Wall time,Step,Value
1749218606.855956,1,2.350600004196167
1749218880.291131,2000,0.4124999940395355
1749219606.7304997,4000,0.28450000286102295
1749220352.728634,6000,0.26980000734329224
1749221291.192711,8000,0.26249998807907104
1749222039.6045175,10000,0.2583000063896179
1749222773.638061,12000,0.25540000200271606
1749223512.802654,14000,0.2531999945640564
1749224250.5513492,16000,0.2515000104904175
1749224983.6199503,18000,0.2500999867916107
1749225721.646848,20000,0.24899999797344208
1749226458.5795484,22000,0.24789999425411224
1749227194.4802938,24000,0.24699999392032623
1749227942.8521557,26000,0.24619999527931213
1749228684.4793708,28000,0.24539999663829803
1749229421.303758,30000,0.24480000138282776
1749230160.940281,32000,0.24420000612735748
1749230905.6395082,34000,0.24369999766349792
1749231649.4486003,36000,0.24320000410079956
1749232385.2724972,38000,0.24279999732971191
1749233117.174628,40000,0.24210000038146973
1749233861.723022,42000,0.24169999361038208
1749234585.7174404,44000,0.24120000004768372
1749235327.4969566,46000,0.24070000648498535
1749236065.361614,48000,0.2402999997138977
1749236808.8982954,50000,0.23989999294281006
1749237549.103492,52000,0.2393999993801117
1749238277.5272765,54000,0.23899999260902405
1749239016.215292,56000,0.2386000007390976
1749239757.1244311,58000,0.23819999396800995
1749240472.3343747,60000,0.2378000020980835
1749241267.7302012,62000,0.23729999363422394
1749242004.3441007,64000,0.23690000176429749
1749242744.4290419,66000,0.23649999499320984
1749243488.526027,68000,0.23600000143051147
1749244223.4404497,70000,0.23559999465942383
1749245070.268558,72000,0.23520000278949738
1749245811.5138822,74000,0.23479999601840973
1749246548.084745,76000,0.23440000414848328
1749247279.4255996,78000,0.23389999568462372
1749248018.6215758,80000,0.23350000381469727
1749248757.6016684,82000,0.23309999704360962
1749249499.538529,84000,0.23260000348091125
1749250236.830701,86000,0.2321999967098236
1749250990.277846,88000,0.23180000483989716
1749251723.955946,90000,0.2313999980688095
1749252465.8567345,92000,0.23100000619888306
1749253195.6886158,94000,0.2304999977350235
1749253940.012113,96000,0.23019999265670776
1749254684.0539353,98000,0.2296999990940094
1749255456.841266,100000,0.22939999401569366
1749256187.3800313,102000,0.2290000021457672
1749256926.1942225,104000,0.22859999537467957
1749257663.6195707,106000,0.22830000519752502
1749258413.3780236,108000,0.2280000001192093
1749259151.4968216,110000,0.22769999504089355
1749259892.155966,112000,0.22750000655651093
1749260634.7435026,114000,0.2272000014781952
1749261371.4256423,116000,0.22689999639987946
1749262102.7493997,118000,0.22669999301433563
1749262840.5098858,120000,0.22660000622272491
1749263577.4866147,122000,0.2264000028371811
1749264316.0466683,124000,0.22630000114440918
1749265057.742769,126000,0.22619999945163727
