Wall time,Step,Value
1750081490.9333045,1,2.441800117492676
1750081765.6312048,2000,0.37470000982284546
1750082504.3963761,4000,0.2599000036716461
1750083238.6812205,6000,0.24940000474452972
1750083986.1894825,8000,0.24410000443458557
1750084723.2966282,10000,0.24070000648498535
1750085450.4420433,12000,0.23829999566078186
1750086186.7241337,14000,0.23659999668598175
1750086912.632472,16000,0.23510000109672546
1750087651.041431,18000,0.23399999737739563
1750088383.9756732,20000,0.2329999953508377
1750089118.9395218,22000,0.2320999950170517
1750089857.9147737,24000,0.2313999980688095
1750090598.427223,26000,0.2305999994277954
1750091340.7079632,28000,0.23000000417232513
1750092081.93577,30000,0.22939999401569366
1750092828.9632456,32000,0.2289000004529953
1750093562.0631986,34000,0.22849999368190765
1750094302.4721336,36000,0.22789999842643738
1750095040.1809483,38000,0.22750000655651093
1750095777.2442675,40000,0.22699999809265137
1750096517.3312075,42000,0.22660000622272491
1750097258.4065309,44000,0.22619999945163727
1750097992.1558595,46000,0.22579999268054962
1750098732.5305653,48000,0.22540000081062317
1750099472.689944,50000,0.2249000072479248
1750100209.5584693,52000,0.22470000386238098
1750100942.0253835,54000,0.2240999937057495
1750101684.6112692,56000,0.22380000352859497
1750102424.080208,58000,0.22349999845027924
1750103152.475181,60000,0.22310000658035278
1750103892.4742212,62000,0.22269999980926514
1750104627.3058412,64000,0.2222999930381775
1750105358.6380413,66000,0.22200000286102295
1750106094.762738,68000,0.2215999960899353
1750106832.8119347,70000,0.22130000591278076
1750107568.9209807,72000,0.2207999974489212
1750108308.2435338,74000,0.22040000557899475
1750109036.2017398,76000,0.2199999988079071
1750109773.7584743,78000,0.21960000693798065
1750110514.8707125,80000,0.219200000166893
1750111244.5615716,82000,0.21889999508857727
1750111978.5590968,84000,0.2184000015258789
1750112714.5305417,86000,0.21809999644756317
1750113449.792435,88000,0.21770000457763672
1750114182.838683,90000,0.21729999780654907
1750114916.6379025,92000,0.21690000593662262
1750115659.923075,94000,0.21660000085830688
1750116396.6239831,96000,0.21619999408721924
1750117142.91417,98000,0.2159000039100647
1750117880.3083668,100000,0.21559999883174896
1750118618.1271284,102000,0.2152000069618225
1750119355.2726743,104000,0.21480000019073486
1750120091.8243759,106000,0.21449999511241913
1750120827.1291785,108000,0.2143000066280365
1750121566.5783281,110000,0.21410000324249268
1750122297.126889,112000,0.21369999647140503
1750123037.3680243,114000,0.21359999477863312
1750123776.764052,116000,0.2134000062942505
1750124511.3771517,118000,0.21310000121593475
1750125255.134064,120000,0.21299999952316284
1750125996.0288105,122000,0.21279999613761902
1750126735.5861368,124000,0.2126999944448471
1750127479.109288,126000,0.2125999927520752
